Epoch,D_Loss,G_Loss,D_Accuracy,Img_Variance,Time(s),Latency(ms),VRAM(MB)
93,-16.991,-62436.535,0.500,0.370,96.455,631.024,8908.052
94,-9.597,-63486.434,0.500,0.404,96.500,629.832,8909.052
95,-13.331,-63011.477,0.500,0.416,96.520,630.363,8907.677
96,-14.990,-66103.883,0.500,0.407,96.596,629.365,8907.302
97,-8.446,-66886.555,0.500,0.419,96.570,630.881,8908.052
98,-13.432,-65054.984,0.500,0.361,96.523,630.551,8907.802
99,-14.195,-63665.246,0.500,0.398,96.683,633.956,8908.802
100,-10.893,-64368.516,0.500,0.399,96.456,630.236,8907.552
101,-16.760,-65190.129,0.500,0.373,96.713,631.811,8907.802
102,-9.421,-67348.117,0.500,0.443,96.686,627.382,8909.302
103,-15.266,-68203.328,0.500,0.399,96.485,631.031,8908.177
104,-17.842,-67750.555,0.500,0.455,96.579,629.781,8907.427
105,-10.768,-70312.109,0.500,0.374,96.366,630.843,8907.927
106,-11.281,-68560.984,0.500,0.434,96.314,628.189,8908.677
